,symbol,open_time,open_quote_asset_price,position,direction,close_quote_asset_price,close_time,info,ratio
0,BTCUSDT,2022-06-24 15:25:11.033211+00:00,20941.2890625,closed,long,20947.38,2022-06-24 15:28:17.232000+00:00,0,1.0002908578111798
1,BTCUSDT,2022-06-24 15:33:12.987767+00:00,20951.130859375,closed,short,20964.29,2022-06-24 15:36:16.465000+00:00,0,1.0006280873673754
2,BTCUSDT,2022-06-24 15:43:05.410995+00:00,20889.619140625,open,long,20878.76,2022-06-24 15:44:31.003000+00:00,0,0.9994801656960857
