adj_symbol,adj_symbol,symbol,base_asset,quote_asset,status,contract_type
OCEAN-USDT,OCEAN-USDT,OCEANUSDT,OCEAN,USDT,TRADING,PERPETUAL
CVC-USDT,CVC-USDT,CVCUSDT,CVC,USDT,TRADING,PERPETUAL
BEL-USDT,BEL-USDT,BELUSDT,BEL,USDT,TRADING,PERPETUAL
CTK-USDT,CTK-USDT,CTKUSDT,CTK,USDT,TRADING,PERPETUAL
AXS-USDT,AXS-USDT,AXSUSDT,AXS,USDT,TRADING,PERPETUAL
ALPHA-USDT,ALPHA-USDT,ALPHAUSDT,ALPHA,USDT,TRADING,PERPETUAL
ZEN-USDT,ZEN-USDT,ZENUSDT,ZEN,USDT,TRADING,PERPETUAL
SKL-USDT,SKL-USDT,SKLUSDT,SKL,USDT,TRADING,PERPETUAL
GRT-USDT,GRT-USDT,GRTUSDT,GRT,USDT,TRADING,PERPETUAL
1INCH-USDT,1INCH-USDT,1INCHUSDT,1INCH,USDT,TRADING,PERPETUAL
BTC-BUSD,BTC-BUSD,BTCBUSD,BTC,BUSD,TRADING,PERPETUAL
CHZ-USDT,CHZ-USDT,CHZUSDT,CHZ,USDT,TRADING,PERPETUAL
SAND-USDT,SAND-USDT,SANDUSDT,SAND,USDT,TRADING,PERPETUAL
ANKR-USDT,ANKR-USDT,ANKRUSDT,ANKR,USDT,TRADING,PERPETUAL
BTS-USDT,BTS-USDT,BTSUSDT,BTS,USDT,TRADING,PERPETUAL
LIT-USDT,LIT-USDT,LITUSDT,LIT,USDT,TRADING,PERPETUAL
UNFI-USDT,UNFI-USDT,UNFIUSDT,UNFI,USDT,TRADING,PERPETUAL
REEF-USDT,REEF-USDT,REEFUSDT,REEF,USDT,TRADING,PERPETUAL
RVN-USDT,RVN-USDT,RVNUSDT,RVN,USDT,TRADING,PERPETUAL
SFP-USDT,SFP-USDT,SFPUSDT,SFP,USDT,TRADING,PERPETUAL
XEM-USDT,XEM-USDT,XEMUSDT,XEM,USDT,TRADING,PERPETUAL
COTI-USDT,COTI-USDT,COTIUSDT,COTI,USDT,TRADING,PERPETUAL
CHR-USDT,CHR-USDT,CHRUSDT,CHR,USDT,TRADING,PERPETUAL
MANA-USDT,MANA-USDT,MANAUSDT,MANA,USDT,TRADING,PERPETUAL
ALICE-USDT,ALICE-USDT,ALICEUSDT,ALICE,USDT,TRADING,PERPETUAL
HBAR-USDT,HBAR-USDT,HBARUSDT,HBAR,USDT,TRADING,PERPETUAL
ONE-USDT,ONE-USDT,ONEUSDT,ONE,USDT,TRADING,PERPETUAL
LINA-USDT,LINA-USDT,LINAUSDT,LINA,USDT,TRADING,PERPETUAL
STMX-USDT,STMX-USDT,STMXUSDT,STMX,USDT,TRADING,PERPETUAL
DENT-USDT,DENT-USDT,DENTUSDT,DENT,USDT,TRADING,PERPETUAL
CELR-USDT,CELR-USDT,CELRUSDT,CELR,USDT,TRADING,PERPETUAL
HOT-USDT,HOT-USDT,HOTUSDT,HOT,USDT,TRADING,PERPETUAL
MTL-USDT,MTL-USDT,MTLUSDT,MTL,USDT,TRADING,PERPETUAL
OGN-USDT,OGN-USDT,OGNUSDT,OGN,USDT,TRADING,PERPETUAL
NKN-USDT,NKN-USDT,NKNUSDT,NKN,USDT,TRADING,PERPETUAL
SC-USDT,SC-USDT,SCUSDT,SC,USDT,SETTLING,PERPETUAL
DGB-USDT,DGB-USDT,DGBUSDT,DGB,USDT,TRADING,PERPETUAL
1000SHIB-USDT,1000SHIB-USDT,1000SHIBUSDT,1000SHIB,USDT,TRADING,PERPETUAL
ICP-USDT,ICP-USDT,ICPUSDT,ICP,USDT,SETTLING,PERPETUAL
BAKE-USDT,BAKE-USDT,BAKEUSDT,BAKE,USDT,TRADING,PERPETUAL
GTC-USDT,GTC-USDT,GTCUSDT,GTC,USDT,TRADING,PERPETUAL
ETH-BUSD,ETH-BUSD,ETHBUSD,ETH,BUSD,TRADING,PERPETUAL
BTCDOM-USDT,BTCDOM-USDT,BTCDOMUSDT,BTCDOM,USDT,TRADING,PERPETUAL
TLM-USDT,TLM-USDT,TLMUSDT,TLM,USDT,SETTLING,PERPETUAL
BNB-BUSD,BNB-BUSD,BNBBUSD,BNB,BUSD,TRADING,PERPETUAL
ADA-BUSD,ADA-BUSD,ADABUSD,ADA,BUSD,TRADING,PERPETUAL
